PlayerId;TeamId;FranchiseId;First Name;Last Name;Nick Name;Height;Weight;Date Of Birth;Birthcity;Birthstate;Nationality_One;Nationality_Two;Nationality_Three;Retired
0;-1;-1; ;Tobias Lindeman;;76;225;2000-7-6;Stockholm;STO;Sweden;;;0
4;-1;-1; ;Eric Vanderberg;;74;210;2000-6-10;Los Angeles;CA;The United States;;;0
5;-1;-1; ;Charles Walker;;77;220;2000-1-11;Washington;DC;The United States;;;0
6;2;2; ;Poopity Scoop;;79;280;2000-9-19;Claremont;CA;The United States;;;0
8;-1;-1; ;Alexis Metzler;;74;203;2000-4-2;Bismarck;ND;The United States;;;0
10;19;19; ;Cassius Darrow;;74;220;2000-12-30;Berlin;BER;Germany;;;0
11;19;19; ;Satoshi Zizagooney;;72;214;2000-1-23;Tokyo;TOK;Japan;;;0
16;14;14; ;Nicolaj Muller;;79;280;2000-6-26;Bern;BE;Switzerland;;;0
17;-1;-1; ;Nick Novak;;75;215;2000-8-25;New Hope;PA;The United States;;;0
20;20;20; ;Bobby Sharp;;73;215;2000-3-31;Jackson;TN;The United States;;;0
21;0;0; ;Hippo Passamus;;66;290;2000-5-22;Stockholm;STO;Sweden;;;0
22;2;2; ;Michael Scarn;;73;195;2000-7-20;Prague;PRA;Czech Republic;;;0
23;0;0; ;Monkey D. Luffy;;74;195;2000-5-11;Toronto;ON;Japan;Canada;;0
24;-1;-1; ;Kristoffer Svensson;;74;195;2000-5-22;Stockholm;STO;Sweden;;;0
29;0;0; ;Alexander Selich;;82;280;2000-5-6;Berlin;BER;Germany;;;0
33;-1;-1; ;Tibuk Soonika;;76;210;2000-7-10;Ottawa;ON;Switzerland;Canada;;0
35;-1;-1; ;Billy Sorokin;;77;200;2000-7-8;Fyodorovka;BAS;Russia;;;0
36;4;4; ;Name Redacted;;75;200;2000-12-1;Wuhan;HUB;China;;;0
40;1;1; ;Corey Kennedy;;76;205;2000-9-21;Dublin;DUB;Ireland;;;0
43;1;1; ;Jules Watt;;77;230;2000-2-21;Helsinki;UUS;Finland;;;0
44;1;1; ;Parker Smeb;;76;215;2000-3-21;Seoul;SEO;Japan;South Korea;;0
47;1;1; ;Nick Connolly;;70;195;2000-12-24;Franklin;TN;The United States;;;0
48;1;1; ;Lallo Selman;;71;177;2000-4-27;Ottawa;ON;Switzerland;Canada;;0
50;-1;-1; ;Kit Smeb;;69;150;2000-3-13;Seoul;SEO;Japan;South Korea;;0
51;-1;-1; ;C.T. Carragher;;74;211;2000-8-22;Arlington;TX;The United States;;;0
52;6;6; ;Panda Panico;;76;245;2000-5-9;Oak Park;IL;Germany;;;0
54;1;1; ;Martijn Westbroek;;75;210;2000-8-30;Amsterdam;NOO;Japan;The Netherlands;;0
55;1;1; ;Daniel Smeb;;73;190;2000-12-30;Seoul;SEO;Japan;South Korea;;0
60;-1;-1; ;Jack Kennedy;;75;225;2000-12-11;Ottawa;ON;Canada;;;0
64;9;9; ;Kyle Sutton;;71;190;2003-7-4;Atlanta;GA;Canada;;;0
66;15;15; ;Elle Rush;;73;195;2000-5-13;Chino Hills;CA;Canada;;;0
67;12;12; ;Geezus Kryyst;;75;210;2000-4-29;Independence;MO;The United States;;;0
71;-1;-1; ;Akashi SixNine;;75;280;2000-5-19;Waterloo;ON;Canada;;;0
74;-1;-1; ;Jax Duggan;;76;250;2000-11-29;Ottawa;ON;Canada;;;0
75;19;19; ;Gabriel Johnson;;72;171;2000-6-21;Ottawa;ON;Canada;;;0
76;2;2; ;Samuel Michaud;;71;205;2000-2-9;Gulfport;MS;Norway;The United States;;0
78;-1;-1; ;Dale Miller;;71;180;2000-4-18;Plantation (Broward County);FL;The United States;;;0
86;2;2; ;Aaron Wilson;;74;215;2000-8-22;Toronto;ON;Canada;;;0
87;2;2; ;Skao Anazibf;;71;170;2000-9-26;Novosibirsk;NOV;Russia;;;0
88;-1;-1; ;Simothy Drunkebird;;66;183;2000-11-15;Prague;PRA;Czech Republic;;;0
89;0;0; ;Alexander Roach;;76;200;2001-4-16;Atlanta;GA;The United States;;;0
91;-1;-1;Kent;Dennis;;72;187;1996-12-17;Hempstead;TX;The United States;;;0
92;-1;-1; ;Dank Boija;;69;220;1998-7-4;Helsinki;UUS;Finland;;;0
93;-1;-1; ;Arsene Arsenich;;75;201;2000-7-24;Dublin;DUB;Ireland;;;0
97;-1;-1;Kendrick;Law;;74;205;1996-4-30;Slater;MO;The United States;;;0
98;2;2; ;Hugh Jazz;;99;285;2000-12-26;Ottawa;ON;Canada;;;0
99;3;3; ;Harry Carpet;;76;208;2000-1-14;Helsinki;UUS;Finland;;;0
100;2;2; ;Peter Ramsay;;74;212;2000-12-8;Reading;ENG;England;;;0
101;-1;-1; ;Eddy Ask Jr.;;74;200;2000-12-15;Stockholm;STO;Sweden;;;0
102;2;2; ;Junior Guarda;;73;210;2002-5-15;Greensboro;NC;Mexico;;;0
105;9;9; ;Axel Foley;;75;229;2003-8-22;Memphis;TN;Canada;;;0
106;-1;-1; ;Jonatan Back;;77;223;2000-9-18;Dallas;TX;Sweden;;;0
107;6;6; ;Elwulf Jericson;;67;185;2003-3-8;Troy;PA;The United States;;;0
108;-1;-1; ;Kalevi Karhunen;;75;230;2000-11-22;Helsinki;UUS;Finland;;;0
109;-1;-1; ;Donny McMaster;;74;210;2000-4-11;Ottawa;ON;Canada;;;0
111;21;21; ;Bork Lazer;;75;286;2000-12-25;Minneapolis;MN;The United States;;;0
112;-1;-1; ;Joseph Laraque;;72;187;2000-6-13;Charlestown;MD;The United States;;;0
113;-1;-1; ;Lyndis Vakarian;;72;190;2000-1-19;Oslo;AKE;Norway;;;0
115;-1;-1; ;Cal Clucker;;73;200;2000-9-11;Dallas;TX;The United States;;;0
116;-1;-1; ;Gotta Love Honors Bio;;74;150;2000-6-17;Dallas;TX;Ireland;;;0
118;-1;-1; ;Jan Zacha;;75;215;2000-12-14;Brno;JHM;Czech Republic;;;0
120;-1;-1; ;Kevin Kazarian;;75;192;2000-9-16;Novi;MI;The United States;;;0
122;3;3; ;Mika Kandinsky;;73;220;2000-9-10;Moscow;MOS;Russia;;;0
