PlayerId;Year;Team Id;League Id;GP;Min;W;L;T/OL;ENG;SO;GA;SA;GR
33;2020;1;9999;6;22591;2;2;2;1;0;18;238;80
33;2021;1;9999;5;17905;1;4;0;0;0;12;197;81
33;2022;1;9999;16;58235;11;3;2;1;2;37;499;80
33;2023;1;9999;24;89980;16;6;2;2;1;67;709;70
35;2020;1;9999;0;0;0;0;0;0;0;0;0;0
35;2021;1;9999;0;0;0;0;0;0;0;0;0;0
35;2022;11;9999;1;2575;0;0;0;0;0;2;30;72
35;2023;11;9999;0;0;0;0;0;0;0;0;0;0
35;2024;11;9999;0;0;0;0;0;0;0;0;0;0
36;2023;4;9999;0;0;0;0;0;0;0;0;0;0
36;2024;4;9999;5;17877;1;4;0;2;0;16;186;76
66;2019;2;9999;0;0;0;0;0;0;0;0;0;0
66;2020;2;9999;1;197;0;0;0;0;0;0;1;48
66;2021;8;9999;1;25;0;0;0;0;0;0;1;51
66;2022;8;9999;1;2830;0;0;0;0;0;2;32;77
67;2025;12;9999;1;2713;0;0;0;0;0;2;38;93
67;2019;2;9999;15;54838;12;3;0;0;2;26;438;82
67;2020;2;9999;15;55752;8;6;1;3;0;47;532;77
67;2024;12;9999;2;2534;0;0;0;0;0;3;36;63
99;2024;3;9999;19;65968;11;6;2;2;3;43;488;70
100;2025;19;9999;0;0;0;0;0;0;0;0;0;0
100;2024;9;9999;12;43653;7;5;0;0;0;36;376;69
101;2021;9;9999;0;0;0;0;0;0;0;0;0;0
101;2022;9;9999;1;114;0;0;0;0;0;1;1;39
102;2025;2;9999;0;0;0;0;0;0;0;0;0;0
102;2022;2;9999;1;1707;0;1;0;0;0;1;10;48
102;2023;2;9999;0;0;0;0;0;0;0;0;0;0
102;2024;2;9999;0;0;0;0;0;0;0;0;0;0
132;2019;4;9999;6;21718;2;4;0;1;1;15;197;78
132;2020;4;9999;4;14812;0;3;1;1;0;13;179;83
132;2021;4;9999;7;25630;3;3;1;1;0;21;271;81
132;2022;4;9999;6;23363;2;3;1;0;0;20;228;73
132;2023;4;9999;7;27051;3;2;2;0;0;22;319;87
132;2024;4;9999;0;0;0;0;0;0;0;0;0;0
134;2025;6;9999;5;13679;1;4;0;0;0;18;188;66
135;2023;1;9999;0;0;0;0;0;0;0;0;0;0
135;2025;1;9999;16;60665;9;6;1;1;3;45;483;67
165;2019;5;9999;11;39789;5;5;1;0;1;25;349;77
232;2025;7;9999;5;17970;1;4;0;0;0;17;242;86
232;2024;7;9999;5;18611;1;3;1;0;0;18;266;90
264;2025;8;9999;6;24858;2;4;0;0;0;22;286;79
264;2019;8;9999;7;26069;3;3;1;0;0;21;243;71
264;2020;8;9999;5;17940;1;3;1;0;0;13;148;74
264;2021;8;9999;6;21720;2;4;0;1;0;22;244;74
264;2022;8;9999;6;18656;2;4;0;0;0;22;207;69
264;2023;8;9999;6;19875;2;4;0;1;0;18;179;67
264;2024;8;9999;5;18656;1;2;2;1;1;20;218;72
330;2019;14;9999;0;0;0;0;0;0;0;0;0;0
330;2020;9;9999;0;0;0;0;0;0;0;0;0;0
429;2025;13;9999;6;21739;2;4;0;0;0;24;269;75
429;2019;13;9999;10;42501;3;2;5;1;0;30;351;73
429;2020;13;9999;12;38988;7;4;1;1;1;35;340;66
429;2022;13;9999;5;17958;1;4;0;0;0;24;235;76
429;2023;13;9999;6;21652;2;3;1;0;1;15;182;75
429;2024;13;9999;6;22301;2;3;1;1;1;15;212;78
430;2019;13;9999;1;3600;1;0;0;0;0;2;15;55
430;2020;13;9999;3;5195;0;0;0;0;0;3;46;65
462;2020;4;9999;0;0;0;0;0;0;0;0;0;0
462;2021;0;9999;0;0;0;0;0;0;0;0;0;0
495;2021;15;9999;0;0;0;0;0;0;0;0;0;0
495;2022;15;9999;0;0;0;0;0;0;0;0;0;0
497;2025;15;9999;1;1777;0;0;0;0;0;1;15;62
497;2021;15;9999;4;14288;0;4;0;1;0;12;176;85
497;2022;15;9999;4;14363;0;4;0;1;0;16;164;72
497;2023;15;9999;0;0;0;0;0;0;0;0;0;0
497;2024;15;9999;8;26651;4;3;0;0;2;18;241;76
529;2019;8;9999;0;0;0;0;0;0;0;0;0;0
529;2020;8;9999;0;0;0;0;0;0;0;0;0;0
529;2022;13;9999;0;0;0;0;0;0;0;0;0;0
531;2021;2;9999;0;0;0;0;0;0;0;0;0;0
532;2019;0;9999;0;0;0;0;0;0;0;0;0;0
563;2025;9;9999;10;35989;4;5;1;1;0;35;410;83
563;2024;3;9999;1;2419;0;0;0;0;0;5;26;31
564;2023;5;9999;1;820;0;0;0;0;0;0;11;69
565;2022;11;9999;5;15340;1;4;0;1;0;22;211;73
565;2023;11;9999;18;65368;9;6;3;0;1;42;678;85
565;2024;11;9999;4;14362;0;4;0;0;0;13;203;96
566;2025;19;9999;10;37413;4;5;1;1;0;33;347;73
566;2021;0;9999;0;0;0;0;0;0;0;0;0;0
595;2025;15;9999;16;58239;12;3;1;1;2;34;517;85
595;2023;15;9999;5;18546;1;3;1;0;0;17;171;68
595;2024;15;9999;6;17608;3;2;0;0;0;15;197;72
596;2025;2;9999;11;40897;7;4;0;0;1;33;342;72
596;2020;2;9999;0;0;0;0;0;0;0;0;0;0
596;2021;2;9999;12;43470;5;7;0;1;2;38;380;71
596;2022;2;9999;18;65484;12;3;2;0;2;47;510;71
596;2023;2;9999;14;51577;9;3;2;1;0;40;364;66
596;2024;2;9999;19;69399;12;6;1;0;0;52;627;76
627;2025;18;9999;1;446;0;0;0;0;0;1;8;48
627;2019;5;9999;0;0;0;0;0;0;0;0;0;0
627;2022;18;9999;1;3016;0;0;0;0;0;5;25;38
627;2023;18;9999;1;226;0;0;0;0;0;0;2;49
627;2024;18;9999;0;0;0;0;0;0;0;0;0;0
629;2022;5;9999;6;21417;2;4;0;0;1;24;299;80
629;2023;5;9999;5;17152;1;4;0;0;0;22;262;87
630;2025;18;9999;4;14051;0;3;1;0;0;21;187;71
630;2021;4;9999;0;0;0;0;0;0;0;0;0;0
630;2022;18;9999;11;38003;6;4;1;0;0;38;401;70
630;2023;18;9999;10;35676;4;6;0;0;1;34;384;81
630;2024;18;9999;11;40293;5;6;0;1;0;33;358;70
660;2023;9;9999;1;2676;0;0;0;0;0;1;24;71
661;2025;8;9999;1;527;0;0;0;0;0;1;6;47
661;2023;8;9999;1;1652;0;0;0;0;0;2;18;57
661;2024;8;9999;1;194;0;0;0;0;0;0;1;50
